2019-06-10 13:13:28.582935: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2300000000 Hz
2019-06-10 13:13:28.583182: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2a04680 executing computations on platform Host. Devices:
2019-06-10 13:13:28.583216: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-06-10 13:13:28.752302: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-06-10 13:13:28.752786: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x2a03fa0 executing computations on platform CUDA. Devices:
2019-06-10 13:13:28.752816: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla T4, Compute Capability 7.5
2019-06-10 13:13:28.753137: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla T4 major: 7 minor: 5 memoryClockRate(GHz): 1.59
pciBusID: 0000:00:04.0
totalMemory: 14.73GiB freeMemory: 14.60GiB
2019-06-10 13:13:28.753175: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-06-10 13:13:29.193916: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-06-10 13:13:29.193982: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-06-10 13:13:29.193995: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-06-10 13:13:29.194273: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14115 MB memory) -> physical GPU (device: 0, name: Tesla T4, pci bus id: 0000:00:04.0, compute capability: 7.5)
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:65: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:70: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
Loading checkpoint models/345M/model.ckpt
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Loading dataset...
100% 1/1 [00:12<00:00, 12.30s/it]
dataset has 2451515 tokens
Training...
2019-06-10 13:14:26.402194: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
[1 | 8.74] loss=3.12 avg=3.12
[2 | 10.28] loss=3.08 avg=3.10
[3 | 11.82] loss=2.99 avg=3.06
[4 | 13.36] loss=2.79 avg=2.99
[5 | 14.92] loss=2.74 avg=2.94
[6 | 16.47] loss=2.75 avg=2.91
[7 | 18.03] loss=2.86 avg=2.90
[8 | 19.59] loss=2.65 avg=2.87
[9 | 21.16] loss=2.73 avg=2.85
[10 | 22.73] loss=2.85 avg=2.85
[11 | 24.31] loss=2.65 avg=2.83
[12 | 25.88] loss=2.76 avg=2.83
[13 | 27.46] loss=2.73 avg=2.82
[14 | 29.05] loss=2.59 avg=2.80
[15 | 30.64] loss=2.77 avg=2.80
[16 | 32.23] loss=2.62 avg=2.79
[17 | 33.83] loss=2.60 avg=2.78
[18 | 35.44] loss=2.71 avg=2.77
[19 | 37.04] loss=2.54 avg=2.76
[20 | 38.66] loss=2.55 avg=2.75
[21 | 40.27] loss=2.48 avg=2.73
[22 | 41.89] loss=2.63 avg=2.73
[23 | 43.52] loss=2.67 avg=2.72
[24 | 45.16] loss=2.55 avg=2.72
[25 | 46.80] loss=2.52 avg=2.71
[26 | 48.45] loss=2.42 avg=2.70
[27 | 50.11] loss=2.61 avg=2.69
[28 | 51.78] loss=2.65 avg=2.69
[29 | 53.46] loss=2.68 avg=2.69
[30 | 55.13] loss=2.55 avg=2.68
[31 | 56.82] loss=2.44 avg=2.68
[32 | 58.51] loss=2.59 avg=2.67
[33 | 60.21] loss=2.40 avg=2.66
[34 | 61.91] loss=2.62 avg=2.66
[35 | 63.62] loss=2.56 avg=2.66
[36 | 65.34] loss=2.72 avg=2.66
[37 | 67.05] loss=2.45 avg=2.65
[38 | 68.76] loss=2.64 avg=2.65
[39 | 70.46] loss=2.58 avg=2.65
[40 | 72.16] loss=2.57 avg=2.65
[41 | 73.85] loss=2.70 avg=2.65
[42 | 75.52] loss=2.52 avg=2.65
[43 | 77.19] loss=2.57 avg=2.64
[44 | 78.86] loss=2.61 avg=2.64
[45 | 80.52] loss=2.38 avg=2.64
[46 | 82.18] loss=2.46 avg=2.63
[47 | 83.82] loss=2.54 avg=2.63
[48 | 85.47] loss=2.49 avg=2.62
[49 | 87.11] loss=2.43 avg=2.62
[50 | 88.74] loss=2.69 avg=2.62
[51 | 90.37] loss=2.56 avg=2.62
[52 | 92.01] loss=2.62 avg=2.62
[53 | 93.63] loss=2.56 avg=2.62
[54 | 95.26] loss=2.40 avg=2.61
[55 | 96.87] loss=2.48 avg=2.61
[56 | 98.50] loss=2.64 avg=2.61
[57 | 100.11] loss=2.66 avg=2.61
[58 | 101.74] loss=2.51 avg=2.61
[59 | 103.35] loss=2.54 avg=2.61
[60 | 104.96] loss=2.48 avg=2.61
[61 | 106.56] loss=2.55 avg=2.60
[62 | 108.17] loss=2.70 avg=2.61
[63 | 109.79] loss=2.38 avg=2.60
[64 | 111.39] loss=2.51 avg=2.60
[65 | 113.00] loss=2.42 avg=2.60
[66 | 114.62] loss=2.65 avg=2.60
[67 | 116.23] loss=2.62 avg=2.60
[68 | 117.84] loss=2.36 avg=2.59
[69 | 119.45] loss=2.52 avg=2.59
[70 | 121.06] loss=2.27 avg=2.58
[71 | 122.68] loss=2.39 avg=2.58
[72 | 124.31] loss=2.53 avg=2.58
[73 | 125.93] loss=2.44 avg=2.58
[74 | 127.56] loss=2.68 avg=2.58
[75 | 129.18] loss=2.58 avg=2.58
[76 | 130.81] loss=2.60 avg=2.58
