2019-06-10 19:13:51.693426: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2300000000 Hz
2019-06-10 19:13:51.693983: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x3041700 executing computations on platform Host. Devices:
2019-06-10 19:13:51.694038: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-06-10 19:13:51.960828: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-06-10 19:13:51.961345: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x3041440 executing computations on platform CUDA. Devices:
2019-06-10 19:13:51.961376: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): Tesla T4, Compute Capability 7.5
2019-06-10 19:13:51.961761: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: Tesla T4 major: 7 minor: 5 memoryClockRate(GHz): 1.59
pciBusID: 0000:00:04.0
totalMemory: 14.73GiB freeMemory: 14.60GiB
2019-06-10 19:13:51.961791: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-06-10 19:13:53.458565: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-06-10 19:13:53.458656: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-06-10 19:13:53.458675: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-06-10 19:13:53.459007: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 14115 MB memory) -> physical GPU (device: 0, name: Tesla T4, pci bus id: 0000:00:04.0, compute capability: 7.5)
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:65: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /content/gpt-2/src/sample.py:70: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
Loading checkpoint models/345M/model.ckpt
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Loading dataset...
100% 1/1 [00:01<00:00,  1.97s/it]
dataset has 329618 tokens
Training...
2019-06-10 19:14:45.557152: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
[1 | 11.15] loss=2.65 avg=2.65
[2 | 12.65] loss=2.49 avg=2.57
[3 | 14.16] loss=2.38 avg=2.51
[4 | 15.67] loss=2.48 avg=2.50
[5 | 17.18] loss=2.57 avg=2.51
[6 | 18.69] loss=2.52 avg=2.51
[7 | 20.21] loss=2.44 avg=2.50
[8 | 21.72] loss=2.42 avg=2.49
[9 | 23.25] loss=2.48 avg=2.49
[10 | 24.77] loss=2.57 avg=2.50
[11 | 26.30] loss=2.40 avg=2.49
[12 | 27.82] loss=2.39 avg=2.48
[13 | 29.36] loss=2.30 avg=2.47
[14 | 30.89] loss=2.37 avg=2.46
[15 | 32.43] loss=2.39 avg=2.45
[16 | 33.97] loss=2.33 avg=2.45
[17 | 35.52] loss=2.43 avg=2.45
[18 | 37.07] loss=2.42 avg=2.44
[19 | 38.62] loss=2.30 avg=2.44
[20 | 40.17] loss=2.36 avg=2.43
[21 | 41.72] loss=2.35 avg=2.43
[22 | 43.28] loss=2.39 avg=2.43
[23 | 44.85] loss=2.33 avg=2.42
[24 | 46.41] loss=2.27 avg=2.41
[25 | 47.98] loss=2.44 avg=2.42
[26 | 49.56] loss=2.33 avg=2.41
[27 | 51.13] loss=2.42 avg=2.41
[28 | 52.70] loss=2.29 avg=2.41
[29 | 54.29] loss=2.26 avg=2.40
[30 | 55.86] loss=2.38 avg=2.40
[31 | 57.45] loss=2.37 avg=2.40
[32 | 59.04] loss=2.28 avg=2.40
[33 | 60.63] loss=2.19 avg=2.39
[34 | 62.22] loss=2.21 avg=2.38
[35 | 63.82] loss=2.21 avg=2.38
[36 | 65.42] loss=2.45 avg=2.38
[37 | 67.03] loss=2.46 avg=2.38
[38 | 68.64] loss=2.26 avg=2.38
[39 | 70.24] loss=2.37 avg=2.38
[40 | 71.86] loss=2.35 avg=2.38
[41 | 73.49] loss=2.24 avg=2.37
[42 | 75.12] loss=2.45 avg=2.37
[43 | 76.74] loss=2.27 avg=2.37
[44 | 78.38] loss=2.21 avg=2.37
[45 | 80.02] loss=2.21 avg=2.36
[46 | 81.67] loss=2.28 avg=2.36
[47 | 83.31] loss=2.20 avg=2.36
[48 | 84.97] loss=2.28 avg=2.35
[49 | 86.62] loss=2.25 avg=2.35
[50 | 88.28] loss=2.32 avg=2.35
[51 | 89.94] loss=2.35 avg=2.35
[52 | 91.61] loss=2.22 avg=2.35
[53 | 93.29] loss=2.41 avg=2.35
[54 | 94.95] loss=2.30 avg=2.35
[55 | 96.62] loss=2.09 avg=2.34
[56 | 98.29] loss=2.13 avg=2.34
[57 | 99.94] loss=2.20 avg=2.33
[58 | 101.60] loss=2.18 avg=2.33
[59 | 103.25] loss=2.30 avg=2.33
[60 | 104.89] loss=2.04 avg=2.32
[61 | 106.53] loss=2.29 avg=2.32
[62 | 108.17] loss=2.52 avg=2.33
[63 | 109.80] loss=2.34 avg=2.33
[64 | 111.43] loss=2.14 avg=2.32
[65 | 113.06] loss=2.31 avg=2.32
[66 | 114.68] loss=2.33 avg=2.32
[67 | 116.30] loss=2.24 avg=2.32
[68 | 117.92] loss=2.09 avg=2.32
[69 | 119.53] loss=2.32 avg=2.32
[70 | 121.14] loss=2.30 avg=2.32
[71 | 122.76] loss=2.63 avg=2.32
[72 | 124.37] loss=2.24 avg=2.32
[73 | 125.98] loss=2.18 avg=2.32
[74 | 127.60] loss=2.24 avg=2.32
[75 | 129.20] loss=2.15 avg=2.31
[76 | 130.81] loss=2.30 avg=2.31
